category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,8.3,7.8,7.5,7.4,7.5,12.2,40.7,313.3,105.4,21.2,8.1,3.3
wage_earnings_net_profits,117.0,97.3,96.6,124.8,100.7,108.0,123.9,111.7,112.6,138.5,108.6,99.2
realty_transfer_tax,15.8,17.0,20.0,13.3,13.9,23.1,14.7,13.4,16.9,16.2,17.7,19.9
sales_tax,22.3,22.2,10.8,10.5,11.6,10.5,11.3,11.3,12.4,12.7,14.2,13.3
birt,4.1,1.9,17.7,7.1,0.7,3.8,23.9,7.0,42.6,223.8,112.1,6.6
other_taxes,7.9,10.3,8.6,7.4,8.1,7.7,7.5,8.1,6.4,13.1,8.0,7.4
locally_generated_non_tax,26.4,19.2,19.4,24.8,19.5,19.6,26.0,23.6,26.7,17.9,24.0,24.2
total_other_govts,2.4,48.4,66.0,69.6,16.5,9.7,6.8,16.9,17.5,9.4,10.5,8.1
total_pica_other_govts,24.8,13.7,31.1,26.5,27.9,15.3,36.7,29.7,37.6,29.6,40.2,23.9
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.8
total_current_revenue,228.9,237.8,277.6,291.3,206.4,210.1,291.5,535.1,378.0,482.4,357.2,206.9
prior_year_revenue,10.3,8.7,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,239.2,246.5,277.6,303.1,206.4,210.1,291.5,535.1,378.0,482.4,357.2,206.9
