category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,10.2,7.1,8.6,8.3,6.9,11.2,48.5,321.7,112.1,24.0,10.0,7.8
wage_earnings_net_profits,125.5,102.5,102.0,110.0,122.4,98.0,132.0,122.1,133.4,124.2,127.7,100.6
realty_transfer_tax,25.0,23.2,18.6,20.1,20.0,14.4,18.9,18.1,21.9,16.2,20.3,20.9
sales_tax,15.1,27.0,11.7,11.0,13.1,10.0,12.4,13.7,9.6,11.0,12.7,13.4
birt,5.3,3.8,18.2,22.2,5.8,8.9,5.6,13.6,58.0,241.9,100.8,6.8
other_taxes,9.8,12.1,8.8,8.2,9.4,8.7,8.9,9.4,9.0,11.6,9.7,9.7
locally_generated_non_tax,22.9,29.2,25.2,21.2,22.6,24.4,29.1,18.2,26.8,25.8,20.5,22.8
total_other_govts,11.8,59.8,69.6,13.7,56.3,6.3,7.8,18.1,16.0,8.6,16.6,21.3
total_pica_other_govts,25.7,28.8,27.4,30.8,30.8,25.6,15.9,50.1,32.6,43.7,25.4,26.9
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.5
total_current_revenue,251.3,293.4,290.2,245.5,287.4,207.5,279.0,584.9,419.4,506.8,357.8,234.6
prior_year_revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,251.3,293.4,290.2,245.5,287.4,207.5,279.0,584.9,419.4,506.8,357.8,234.6
