category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.5,7.2,6.1,5.5,6.1,14.1,51.8,315.5,90.7,25.3,3.1,2.3
wage_earnings_net_profits,103.5,94.8,92.5,95.9,106.2,101.6,127.9,91.3,99.3,127.1,105.4,98.7
realty_transfer_tax,12.8,10.2,8.7,12.6,11.5,14.0,12.9,8.9,15.5,13.9,8.5,8.8
sales_tax,21.0,23.7,20.6,19.8,20.8,21.9,20.0,25.0,19.3,19.4,23.7,24.3
birt,1.1,3.9,12.6,7.2,5.8,6.7,12.9,4.2,38.6,276.0,63.3,2.6
other_taxes,7.3,9.6,7.5,7.4,7.1,7.1,7.3,7.0,6.7,13.1,8.0,7.6
locally_generated_non_tax,22.5,24.1,19.4,21.4,21.2,16.3,23.7,28.3,26.9,21.4,17.0,16.5
total_other_govts,3.1,54.0,70.2,66.4,7.8,19.6,8.1,37.4,3.1,6.5,29.0,9.8
total_pica_other_govts,23.6,26.3,22.0,22.5,28.6,21.6,25.8,18.6,37.5,27.6,29.4,28.2
interfund_transfers,0.0,8.4,0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0
total_current_revenue,202.3,262.2,259.8,258.5,215.1,222.8,290.4,536.1,337.5,530.2,301.3,201.7
prior_year_revenue,26.2,12.2,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,228.5,274.5,259.8,271.8,215.1,222.8,290.4,536.1,337.5,530.2,301.3,201.7
