category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
receipts_minus_disbursements,-39.6,59.6,22.6,-111.7,-34.8,-23.8,66.3,329.3,-417.2,187.3,-31.6,-6.9
opening_balance,533.9,494.3,553.9,576.5,464.8,555.0,531.2,597.5,926.7,509.6,696.9,540.3
tran,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,-125.0,0.0
closing_balance,494.3,553.9,576.5,464.8,555.0,531.2,597.5,926.7,509.6,696.9,540.3,533.4
