category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.6,6.9,5.6,7.7,5.7,12.9,30.8,178.7,116.2,23.3,6.4,5.8
wage_earnings_net_profits,94.4,105.3,82.7,973.0,102.7,765.0,99.4,88.8,87.5,109.3,125.2,85.9
realty_transfer_tax,20.5,23.2,17.3,14.0,11.9,134.0,13.8,11.6,16.7,20.7,18.3,13.7
sales_tax,11.3,12.5,10.7,11.2,9.3,9.3,10.4,13.8,9.6,10.5,11.1,11.2
birt,5.0,2.7,12.1,4.0,1.4,1.9,1.4,16.9,26.7,117.6,128.2,81.6
other_taxes,5.3,7.6,5.0,5.6,6.1,5.0,4.4,5.4,5.0,8.8,6.2,5.5
locally_generated_non_tax,15.0,18.2,21.2,19.5,19.8,20.6,19.0,21.9,19.8,19.2,18.5,20.2
total_other_govts,0.0,116.0,105.7,88.0,78.2,8.1,74.9,24.6,44.5,33.0,4.6,31.7
total_pica_other_govts,16.3,27.8,0.0,22.4,17.4,17.5,24.5,17.2,19.4,14.9,28.6,22.5
interfund_transfers,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,20.7
total_current_revenue,175.6,320.7,260.8,270.1,252.9,165.8,279.1,379.4,345.9,357.9,347.5,298.9
prior_year_revenue,106.6,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
total_cash_receipts,289.2,345.8,260.8,270.1,252.9,165.6,279.1,379.4,345.9,357.9,347.5,295.9
