category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.5,7.2,6.1,5.5,5.7,15.6,39.5,272.8,115.6,22.1,8.1,9.2
wage_earnings_net_profits,103.5,94.8,92.5,95.9,107.8,98.6,117.2,102.0,103.7,112.3,107.9,95.1
realty_transfer_tax,12.8,10.2,8.7,12.6,8.9,10.5,10.2,6.9,9.4,10.8,11.3,12.4
sales_tax,21.0,23.7,20.6,19.8,21.6,20.7,21.3,24.9,20.1,20.8,23.6,21.4
birt,1.1,3.9,12.6,7.2,-3.4,7.9,11.1,5.9,37.4,195.7,111.2,7.4
other_taxes,7.3,9.6,7.5,7.4,8.3,8.0,7.1,7.7,6.2,13.3,8.2,8.1
locally_generated_non_tax,22.5,24.1,19.4,21.4,21.0,22.1,19.3,20.2,21.7,16.7,21.1,21.6
total_other_govts,3.1,54.0,70.2,66.4,11.6,47.5,17.0,10.5,6.3,7.6,24.0,6.7
total_pica_other_govts,23.6,26.3,22.0,22.5,28.4,24.2,32.3,22.8,27.9,28.6,26.2,22.9
interfund_transfers,0.0,8.4,0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0
total_current_revenue,202.3,262.2,259.8,258.5,209.9,255.1,275.0,473.7,348.2,427.9,351.5,207.7
prior_year_revenue,26.2,12.2,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,228.5,274.5,259.8,271.8,209.9,255.1,275.0,473.7,348.2,427.9,351.5,207.7
