category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,4.1,8.6,3.7,4.0,4.1,11.5,34.2,269.6,122.6,14.3,5.9,7.5
wage_earnings_net_profits,91.4,109.7,78.8,92.9,100.4,89.9,120.0,88.7,103.6,99.4,104.6,90.7
realty_transfer_tax,19.7,12.5,7.5,7.9,9.3,9.6,7.6,5.8,8.0,7.5,8.9,12.5
sales_tax,21.4,23.4,20.7,19.4,21.3,18.6,19.5,22.8,18.1,19.7,22.7,20.5
birt,2.4,13.0,11.4,8.4,-0.7,9.2,7.6,7.4,41.8,175.3,105.8,3.9
other_taxes,7.7,12.4,9.9,6.2,7.7,7.7,6.6,6.4,8.2,13.8,7.6,6.9
locally_generated_non_tax,20.5,21.2,19.6,13.8,24.9,22.1,17.9,24.1,29.5,15.6,21.4,29.6
total_other_govts,0.2,101.0,91.8,114.6,13.4,22.3,17.0,5.9,102.6,14.3,4.3,140.1
total_pica_other_govts,23.9,27.4,13.4,29.0,25.4,23.9,24.1,26.3,25.2,31.0,30.2,17.2
interfund_transfers,8.4,0.2,0.1,1.1,0.2,0.0,0.0,0.0,0.2,0.0,10.1,14.8
total_current_revenue,199.7,329.4,256.9,297.3,206.0,214.8,254.5,457.0,459.8,390.9,321.5,343.7
prior_year_revenue,112.2,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,311.9,386.4,256.9,297.3,206.0,214.8,254.5,457.0,459.8,390.9,321.5,343.7
