category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,10.2,7.1,8.6,8.3,6.9,11.2,48.5,321.5,116.8,24.5,10.0,7.5
wage_earnings_net_profits,125.5,102.5,102.0,110.0,122.4,98.0,132.0,111.2,120.2,143.4,117.4,107.7
realty_transfer_tax,25.0,23.2,18.6,20.1,20.0,14.4,18.9,13.5,19.2,20.6,20.5,23.4
sales_tax,15.1,27.0,11.7,11.0,13.1,10.0,12.4,13.7,11.2,9.3,14.8,12.4
birt,5.3,3.8,18.2,22.2,5.8,8.9,5.6,3.0,46.0,225.6,86.4,6.8
other_taxes,9.8,12.1,8.8,8.2,9.4,8.7,8.9,9.6,7.6,14.6,9.0,8.7
locally_generated_non_tax,22.9,29.2,25.2,21.2,22.6,24.4,29.1,21.2,23.9,16.0,21.1,27.1
total_other_govts,11.8,59.8,69.6,13.7,56.3,6.3,7.8,24.3,9.4,11.4,13.2,20.4
total_pica_other_govts,25.7,28.8,27.4,30.8,30.8,25.6,15.9,46.1,34.0,30.4,39.6,26.1
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.5
total_current_revenue,251.3,293.4,290.2,245.5,287.4,207.5,279.0,564.1,388.2,495.7,346.0,244.8
prior_year_revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,251.3,293.4,290.2,245.5,287.4,207.5,279.0,564.1,388.2,495.7,346.0,244.8
