category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,8.3,7.8,7.8,7.8,7.5,9.9,40.7,282.6,117.1,23.9,10.4,14.1
wage_earnings_net_profits,117.0,97.3,96.6,124.8,100.7,105.8,123.9,112.9,117.8,143.1,100.6,103.5
realty_transfer_tax,15.8,17.0,20.0,13.3,13.9,23.1,14.7,10.2,11.9,23.7,17.6,22.1
sales_tax,22.3,22.2,10.8,10.5,11.6,10.5,11.3,11.4,10.8,8.3,10.1,12.0
birt,4.1,1.9,17.7,7.1,0.7,3.8,23.9,8.3,59.9,265.5,65.5,10.4
other_taxes,7.9,10.3,8.6,7.4,8.1,7.7,7.5,8.4,7.4,11.1,8.0,7.6
locally_generated_non_tax,26.4,19.2,19.4,24.8,19.5,19.6,26.0,21.4,30.4,22.4,26.6,20.8
total_other_govts,2.5,48.4,66.0,69.6,16.5,9.7,6.8,11.8,9.3,13.4,13.1,20.3
total_pica_other_govts,25.2,13.7,31.1,26.5,27.9,15.3,36.7,32.6,24.8,24.3,54.8,25.7
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9
total_current_revenue,229.4,237.8,277.9,291.7,206.4,205.5,291.5,499.6,389.5,535.8,306.5,254.4
prior_year_revenue,10.3,8.7,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,239.7,246.5,277.9,303.5,206.4,205.5,291.5,499.6,389.5,535.8,306.5,254.4
