category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,4.1,8.6,3.7,4.0,4.1,11.5,34.2,269.6,122.6,11.7,7.2,7.3
wage_earnings_net_profits,91.4,109.7,78.8,92.9,100.4,89.9,120.0,88.7,103.6,95.9,107.5,88.1
realty_transfer_tax,19.7,12.5,7.5,7.9,9.3,9.6,7.6,5.8,8.0,10.3,10.9,10.8
sales_tax,21.4,23.4,20.7,19.4,21.3,18.6,19.5,22.8,18.1,20.2,21.5,20.6
birt,2.4,13.0,11.4,8.4,-0.7,9.2,7.6,7.4,41.8,118.1,113.3,28.9
other_taxes,7.7,12.4,9.9,6.2,7.7,7.7,6.6,6.4,8.2,9.9,7.0,8.0
locally_generated_non_tax,20.5,21.2,19.6,13.8,24.9,22.1,17.9,24.1,29.5,22.0,25.0,30.4
total_other_govts,0.2,101.0,91.8,114.6,13.4,22.3,17.0,5.9,102.6,27.0,113.3,98.8
total_pica_other_govts,15.7,26.2,8.1,25.2,21.0,10.1,23.9,22.2,23.6,31.6,42.7,28.9
interfund_transfers,8.4,0.2,0.1,1.1,0.2,0.0,0.0,0.0,0.2,0.2,0.2,22.0
total_current_revenue,191.5,328.2,251.6,293.5,201.6,201.0,254.3,452.9,458.3,346.9,448.6,343.9
prior_year_revenue,112.2,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,303.7,385.2,251.6,293.5,201.6,201.0,254.3,452.9,458.3,346.9,448.6,343.9
