category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,9.1,7.4,5.4,6.4,5.9,13.7,34.3,201.7,79.7,18.4,6.5,6.1
wage_earnings_net_profits,95.9,105.6,89.9,105.5,114.9,106.4,121.1,79.8,111.6,100.1,100.4,64.4
realty_transfer_tax,21.6,20.6,15.6,15.5,16.6,17.8,19.8,11.8,15.0,14.3,19.1,17.2
sales_tax,12.0,10.7,11.3,11.6,12.2,11.2,10.3,12.4,10.2,10.7,12.1,11.2
birt,7.4,3.3,14.2,19.0,1.2,15.3,8.2,1.4,23.8,176.7,146.4,21.3
other_taxes,5.2,7.5,6.0,4.9,3.1,5.2,6.3,5.3,5.4,9.0,6.4,4.8
locally_generated_non_tax,16.0,22.5,19.1,20.8,18.1,21.0,25.6,19.4,26.8,17.6,19.1,48.6
total_other_govts,4.1,137.1,6.4,99.1,20.4,17.5,30.9,68.8,69.9,53.4,105.5,66.9
total_pica_other_govts,18.8,33.1,14.7,24.2,26.3,3.5,22.6,37.7,25.2,9.7,28.2,13.8
interfund_transfers,0.0,0.0,0.9,0.5,0.4,0.5,0.3,0.4,0.5,0.4,0.4,20.4
total_current_revenue,192.1,348.0,183.7,307.7,219.2,212.2,279.3,438.6,368.0,410.4,444.0,292.9
prior_year_revenue,49.3,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
total_cash_receipts,249.3,379.0,193.7,307.7,219.2,212.2,279.3,438.6,368.0,410.4,444.0,285.9
