category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,231.4,218.6,227.8,226.5,166.6,65.2,-8.1,196.7,259.9,362.0,131.4,24.4
grants_revenue,168.9,145.2,53.5,74.2,54.5,34.7,77.7,41.5,54.8,78.3,73.5,40.0
community_development,-13.2,-4.8,-8.8,-11.3,-11.3,-11.3,-9.7,-10.0,-10.6,-9.9,-6.0,-8.0
vehicle_rental_tax,5.7,6.3,4.3,4.7,5.0,5.4,5.8,6.1,3.9,4.2,4.6,4.9
other_funds,9.9,22.9,11.2,9.0,12.0,11.7,5.0,5.0,11.7,7.0,5.0,9.0
total_operating_funds,402.7,388.2,288.0,303.1,226.8,105.7,70.7,239.3,319.7,441.6,208.5,70.3
capital_improvement,66.6,61.0,57.8,46.6,48.7,37.0,197.9,195.6,192.3,187.9,181.2,177.2
industrial_commercial_dev,4.3,4.3,4.9,5.5,5.6,5.6,5.6,4.3,4.3,4.4,4.5,4.5
total_capital_funds,70.9,65.3,62.7,52.1,54.3,42.6,203.5,199.9,196.6,192.3,185.7,181.7
total_fund_equity,473.6,453.5,350.7,355.2,281.1,148.3,274.2,439.2,516.3,633.9,394.2,252.0
