category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.3,7.3,5.9,5.5,5.6,14.9,38.8,242.7,117.1,22.6,9.7,9.3
wage_earnings_net_profits,89.4,111.3,85.2,102.3,93.4,91.6,121.6,89.9,105.1,98.8,104.2,91.4
realty_transfer_tax,10.2,13.9,11.9,9.3,9.1,9.3,9.6,6.2,8.4,10.1,11.0,11.9
sales_tax,19.4,22.0,20.3,19.4,21.5,18.8,19.9,23.3,18.5,20.1,23.9,21.6
birt,3.6,3.6,9.7,9.5,-2.1,9.0,8.2,5.6,26.2,159.5,115.5,20.9
other_taxes,8.2,9.7,6.6,6.7,8.3,7.5,7.3,6.9,7.2,12.8,8.5,8.4
locally_generated_non_tax,19.4,22.8,16.9,17.5,21.2,23.9,21.3,20.7,24.1,20.3,23.5,26.8
total_other_govts,3.7,53.2,98.3,69.1,7.2,22.1,13.5,7.8,22.2,8.2,5.5,44.3
total_pica_other_govts,26.0,21.4,22.6,21.6,24.7,20.8,25.9,21.6,23.1,29.3,29.1,24.9
interfund_transfers,8.4,0.0,0.1,0.0,0.5,3.1,0.2,0.7,1.1,3.0,0.2,11.1
total_current_revenue,195.6,265.1,277.5,260.8,189.4,221.0,266.2,425.4,352.9,384.6,330.9,270.6
prior_year_revenue,18.7,122.0,1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,214.3,387.1,278.6,271.3,189.4,221.0,266.2,425.4,352.9,384.6,330.9,270.6
