category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,308.6,366.7,351.6,365.1,331.4,285.1,260.0,516.9,609.5,746.3,580.6,525.7
grants_revenue,150.7,58.2,26.6,47.6,47.7,37.6,64.8,48.8,51.2,50.0,76.4,78.9
community_development,-20.6,8.3,12.5,11.6,10.8,12.7,2.3,-0.5,-8.1,-3.0,-6.0,0.0
vehicle_rental_tax,5.1,5.5,5.9,3.9,4.4,4.8,5.2,5.6,3.4,3.8,4.2,4.7
other_funds,7.0,10.7,14.3,11.2,11.2,14.3,12.2,12.0,11.0,11.0,10.2,15.9
total_operating_funds,450.8,449.4,410.9,439.4,405.5,354.5,344.5,582.8,669.0,808.1,665.4,625.2
capital_improvement,225.0,218.8,210.7,202.0,193.7,337.3,176.1,164.2,189.6,192.2,184.4,157.3
industrial_commercial_dev,3.6,3.7,3.7,4.9,3.9,3.9,3.4,4.0,4.0,4.0,4.0,4.1
total_capital_funds,228.6,222.5,214.4,206.9,197.6,341.2,179.5,168.2,193.6,198.2,188.4,161.4
total_fund_equity,679.4,671.9,625.3,646.3,603.1,695.7,524.0,751.0,862.6,1004.3,853.8,786.6
