category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.3,7.3,5.9,5.5,5.3,14.8,39.4,244.7,119.5,22.6,9.7,9.4
wage_earnings_net_profits,89.4,111.3,85.2,102.3,97.6,90.1,112.4,91.6,105.4,99.1,104.5,91.7
realty_transfer_tax,10.2,13.9,11.9,9.3,7.5,8.7,9.4,6.0,7.9,9.6,10.3,11.2
sales_tax,19.4,22.0,20.3,19.4,21.5,20.5,20.3,23.9,18.4,20.1,23.0,21.5
birt,3.6,3.6,9.7,9.5,-0.9,-0.0,12.8,5.6,35.7,164.8,119.8,22.2
other_taxes,8.2,9.7,6.6,6.7,7.3,7.1,6.5,6.9,7.8,13.5,8.6,8.2
locally_generated_non_tax,19.4,22.8,16.9,17.5,25.7,22.4,19.6,28.3,23.3,20.3,23.5,25.7
total_other_govts,3.7,53.2,98.3,69.1,4.6,17.4,19.6,8.5,10.8,38.2,5.5,30.0
total_pica_other_govts,26.0,21.4,22.6,21.6,23.1,25.4,22.2,22.8,23.4,27.9,27.8,25.7
interfund_transfers,8.4,0.0,0.1,0.0,0.0,0.0,0.0,0.9,1.1,2.2,1.2,11.1
total_current_revenue,195.6,265.1,277.5,260.8,191.7,206.4,262.2,439.2,353.2,418.3,333.8,256.8
prior_year_revenue,18.7,122.0,1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,214.3,387.1,278.6,271.3,191.7,206.4,262.2,439.2,353.2,418.3,333.8,256.8
