category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,9.2,8.5,6.5,6.0,5.8,34.3,64.1,317.6,138.5,29.0,14.0,12.9
wage_earnings_net_profits,137.7,114.0,115.3,134.3,119.4,112.0,170.0,122.4,136.1,157.8,129.5,117.3
realty_transfer_tax,38.3,29.0,20.8,27.5,28.7,21.8,36.9,13.7,17.5,17.1,17.7,18.1
sales_tax,28.6,29.0,12.0,11.9,14.6,12.7,11.9,16.2,12.2,11.9,14.4,26.3
birt,6.9,6.9,16.4,14.9,0.9,6.1,29.4,5.7,48.6,240.2,49.3,8.3
beverage_tax,6.9,6.5,6.7,7.6,6.1,6.0,6.5,7.8,8.8,9.3,8.8,9.2
other_taxes,10.2,9.5,12.2,10.3,9.7,10.2,9.8,9.2,8.9,13.9,9.8,9.4
locally_generated_non_tax,24.3,29.4,21.4,30.7,24.1,27.8,26.5,24.1,27.8,21.7,26.8,25.8
total_other_govts,22.9,52.3,77.9,59.9,16.8,7.0,15.2,10.1,14.1,10.7,11.6,14.5
total_pica_other_govts,25.8,37.2,29.7,17.2,41.8,13.1,62.7,29.5,54.3,44.7,44.4,41.0
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5
total_current_revenue,310.7,322.5,318.8,320.3,267.9,250.9,432.8,556.4,466.9,556.2,326.4,313.2
prior_year_revenue,40.9,0.2,12.5,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,351.6,322.6,331.4,317.6,267.9,250.9,432.8,556.4,466.9,556.2,326.4,313.2
