category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,9.7,6.4,6.5,5.2,5.1,14.1,33.0,202.5,99.2,22.9,7.9,10.0
wage_earnings_net_profits,99.6,103.7,85.0,85.9,98.7,81.3,105.7,87.6,94.3,97.6,109.2,90.6
realty_transfer_tax,14.8,16.7,12.6,10.0,11.3,13.2,13.4,8.9,12.3,13.2,14.6,14.1
sales_tax,11.0,13.1,10.6,10.3,11.0,10.7,10.7,12.2,10.5,10.5,11.6,11.1
birt,-1.3,3.7,15.4,7.6,-1.8,6.6,8.2,6.0,18.9,146.0,140.0,35.3
other_taxes,6.3,9.1,7.2,7.6,6.8,6.4,6.2,8.6,5.9,11.0,7.4,7.7
locally_generated_non_tax,18.5,23.7,39.7,14.0,23.1,29.2,26.2,20.4,27.8,21.6,24.9,31.0
total_other_govts,46.0,65.2,73.9,80.9,27.5,14.7,80.8,77.2,71.1,86.4,38.6,59.2
total_pica_other_govts,29.6,0.0,20.2,44.3,27.2,7.1,27.6,23.3,26.7,20.8,24.8,20.2
interfund_transfers,0.4,0.4,43.7,0.5,1.1,46.4,1.9,2.0,3.2,3.1,1.9,9.5
total_current_revenue,234.6,242.0,314.8,266.3,209.8,229.7,313.8,448.6,369.9,433.2,381.0,288.7
prior_year_revenue,85.5,45.2,0.0,6.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,312.1,279.2,314.8,272.5,211.7,229.7,313.8,448.6,369.9,433.2,381.0,288.7
