category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.5,7.2,6.1,5.5,6.1,14.1,51.8,272.8,115.9,22.1,8.1,9.2
wage_earnings_net_profits,103.5,94.8,92.5,95.9,106.2,101.6,127.9,101.2,103.7,116.1,105.4,95.5
realty_transfer_tax,12.8,10.2,8.7,12.6,11.5,14.0,12.9,7.3,9.0,10.0,10.6,11.8
sales_tax,21.0,23.7,20.6,19.8,20.8,21.9,20.0,24.7,20.0,21.0,23.7,22.2
birt,1.1,3.9,12.6,7.2,5.8,6.7,12.9,5.2,35.6,191.3,110.2,7.5
other_taxes,7.3,9.6,7.5,7.4,7.1,7.1,7.3,7.2,6.5,13.9,8.6,8.2
locally_generated_non_tax,22.5,24.1,19.4,21.4,21.2,16.3,23.7,20.4,21.9,20.5,21.3,21.8
total_other_govts,3.1,54.0,70.2,66.4,7.8,19.6,8.1,35.9,7.5,8.9,24.7,6.8
total_pica_other_govts,23.6,26.3,22.0,22.5,28.6,21.6,25.8,22.8,33.9,29.6,27.2,27.7
interfund_transfers,0.0,8.4,0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0
total_current_revenue,202.3,262.2,259.8,258.5,215.1,222.8,290.4,497.2,353.7,433.4,353.7,213.6
prior_year_revenue,26.2,12.2,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,228.5,274.5,259.8,271.8,215.1,222.8,290.4,497.2,353.7,433.4,353.7,213.6
