category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,4.1,8.6,3.7,4.0,4.1,11.5,40.4,243.3,120.1,28.2,10.2,10.5
wage_earnings_net_profits,91.4,109.7,78.8,92.9,100.4,89.9,111.7,91.0,99.2,101.1,111.7,89.2
realty_transfer_tax,19.7,12.5,7.5,7.9,9.3,9.6,9.5,6.0,8.6,9.3,10.0,10.0
sales_tax,21.4,23.4,20.7,19.4,21.3,18.6,18.4,23.4,19.5,19.6,21.5,20.3
birt,2.4,13.0,11.4,8.4,-0.7,9.2,5.0,5.4,17.3,130.1,127.1,32.2
other_taxes,7.7,12.4,9.9,6.2,7.7,7.7,5.8,8.4,4.7,10.9,7.8,8.5
locally_generated_non_tax,20.5,21.2,19.6,13.8,24.9,22.1,24.5,21.4,28.0,22.4,26.8,29.6
total_other_govts,0.2,101.0,91.8,114.6,13.4,22.3,17.0,4.8,152.4,13.9,28.1,149.3
total_pica_other_govts,15.7,26.2,8.1,25.2,21.0,10.1,35.9,27.2,29.3,23.4,34.6,22.5
interfund_transfers,8.4,0.2,0.1,1.1,0.2,0.0,0.2,0.2,0.2,0.2,0.2,1.6
total_current_revenue,191.5,328.2,251.6,293.5,201.6,201.0,268.3,431.0,479.2,359.0,378.1,373.8
prior_year_revenue,112.2,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,303.7,385.2,251.6,293.5,201.6,201.0,268.3,431.0,479.2,359.0,378.1,373.8
